Test: 	Time 0.021 (0.016)	Data 0.019 (0.015)	Loss 5.5471 (5.5452)	Prec@all 39.844 (42.578)
Test: 	Time 0.011 (0.016)	Data 0.009 (0.014)	Loss 5.5465 (5.5452)	Prec@all 39.844 (42.497)
Test: 	Time 0.002 (0.016)	Data 0.000 (0.014)	Loss 5.5469 (5.5452)	Prec@all 39.062 (42.427)
Test: 	Time 0.023 (0.016)	Data 0.021 (0.014)	Loss 5.5450 (5.5452)	Prec@all 42.578 (42.446)
Test: 	Time 0.008 (0.016)	Data 0.006 (0.014)	Loss 5.5468 (5.5453)	Prec@all 39.453 (42.357)
Test: 	Time 0.012 (0.016)	Data 0.010 (0.014)	Loss 5.5469 (5.5453)	Prec@all 40.625 (42.395)
Test: 	Time 0.030 (0.016)	Data 0.028 (0.014)	Loss 5.5453 (5.5453)	Prec@all 44.141 (42.459)
Test: 	Time 0.007 (0.016)	Data 0.005 (0.014)	Loss 5.5454 (5.5453)	Prec@all 42.969 (42.532)
Test: 	Time 0.034 (0.016)	Data 0.032 (0.014)	Loss 5.5462 (5.5453)	Prec@all 41.797 (42.590)
Test: 	Time 0.013 (0.016)	Data 0.011 (0.014)	Loss 5.5452 (5.5452)	Prec@all 42.969 (42.652)
Test: 	Time 0.026 (0.016)	Data 0.024 (0.014)	Loss 5.5456 (5.5453)	Prec@all 42.578 (42.678)
Test: 	Time 0.009 (0.015)	Data 0.007 (0.014)	Loss 5.5457 (5.5452)	Prec@all 43.359 (42.736)
Test: 	Time 0.054 (0.016)	Data 0.052 (0.014)	Loss 5.5448 (5.5453)	Prec@all 44.531 (42.756)
Test: 	Time 0.007 (0.015)	Data 0.005 (0.013)	Loss 5.5460 (5.5453)	Prec@all 42.188 (42.801)
Test: 	Time 0.035 (0.015)	Data 0.033 (0.013)	Loss 5.5452 (5.5453)	Prec@all 42.578 (42.830)
Test: 	Time 0.007 (0.015)	Data 0.005 (0.013)	Loss 5.5447 (5.5453)	Prec@all 44.141 (42.831)
Test: 	Time 0.044 (0.015)	Data 0.042 (0.013)	Loss 5.5457 (5.5453)	Prec@all 41.406 (42.854)
Test: 	Time 0.009 (0.015)	Data 0.007 (0.013)	Loss 5.5449 (5.5453)	Prec@all 43.750 (42.867)
Test: 	Time 0.017 (0.015)	Data 0.015 (0.013)	Loss 5.5456 (5.5453)	Prec@all 41.797 (42.882)
Test: 	Time 0.006 (0.015)	Data 0.004 (0.013)	Loss 5.5451 (5.5453)	Prec@all 44.141 (42.913)
